country,iso3c,date,variable,value,type,crossed.percentage,average.higher.than.threshold
Austria,AUT,1992,CO2 Emissions,2.2,Biophysical_Historical,0.8333333333333333,2.506666666666667
Austria,AUT,1992,Phosphorus,3.83,Biophysical_Historical,0.8333333333333333,2.506666666666667
Austria,AUT,1992,Nitrogen,3.07,Biophysical_Historical,0.8333333333333333,2.506666666666667
Austria,AUT,1992,Land-System Change,0.95,Biophysical_Historical,0.8333333333333333,2.506666666666667
Austria,AUT,1992,Ecological Footprint,2.44,Biophysical_Historical,0.8333333333333333,2.506666666666667
Austria,AUT,1992,Material Footprint,2.55,Biophysical_Historical,0.8333333333333333,2.506666666666667
Austria,AUT,1993,CO2 Emissions,2.25,Biophysical_Historical,0.8333333333333333,2.495
Austria,AUT,1993,Phosphorus,3.72,Biophysical_Historical,0.8333333333333333,2.495
Austria,AUT,1993,Nitrogen,3.07,Biophysical_Historical,0.8333333333333333,2.495
Austria,AUT,1993,Land-System Change,0.97,Biophysical_Historical,0.8333333333333333,2.495
Austria,AUT,1993,Ecological Footprint,2.48,Biophysical_Historical,0.8333333333333333,2.495
Austria,AUT,1993,Material Footprint,2.48,Biophysical_Historical,0.8333333333333333,2.495
Austria,AUT,1994,CO2 Emissions,2.3,Biophysical_Historical,0.8333333333333333,2.7016666666666667
Austria,AUT,1994,Phosphorus,4.19,Biophysical_Historical,0.8333333333333333,2.7016666666666667
Austria,AUT,1994,Nitrogen,3.47,Biophysical_Historical,0.8333333333333333,2.7016666666666667
Austria,AUT,1994,Land-System Change,0.96,Biophysical_Historical,0.8333333333333333,2.7016666666666667
Austria,AUT,1994,Ecological Footprint,2.6,Biophysical_Historical,0.8333333333333333,2.7016666666666667
Austria,AUT,1994,Material Footprint,2.69,Biophysical_Historical,0.8333333333333333,2.7016666666666667
Austria,AUT,1995,CO2 Emissions,2.35,Biophysical_Historical,0.8333333333333333,2.73
Austria,AUT,1995,Phosphorus,4.12,Biophysical_Historical,0.8333333333333333,2.73
Austria,AUT,1995,Nitrogen,3.51,Biophysical_Historical,0.8333333333333333,2.73
Austria,AUT,1995,Land-System Change,0.95,Biophysical_Historical,0.8333333333333333,2.73
Austria,AUT,1995,Ecological Footprint,2.73,Biophysical_Historical,0.8333333333333333,2.73
Austria,AUT,1995,Material Footprint,2.72,Biophysical_Historical,0.8333333333333333,2.73
Austria,AUT,1996,CO2 Emissions,2.4,Biophysical_Historical,0.8333333333333333,2.8666666666666667
Austria,AUT,1996,Phosphorus,4.44,Biophysical_Historical,0.8333333333333333,2.8666666666666667
Austria,AUT,1996,Nitrogen,3.68,Biophysical_Historical,0.8333333333333333,2.8666666666666667
Austria,AUT,1996,Land-System Change,0.97,Biophysical_Historical,0.8333333333333333,2.8666666666666667
Austria,AUT,1996,Ecological Footprint,3,Biophysical_Historical,0.8333333333333333,2.8666666666666667
Austria,AUT,1996,Material Footprint,2.71,Biophysical_Historical,0.8333333333333333,2.8666666666666667
Austria,AUT,1997,CO2 Emissions,2.45,Biophysical_Historical,0.8333333333333333,2.805
Austria,AUT,1997,Phosphorus,4.17,Biophysical_Historical,0.8333333333333333,2.805
Austria,AUT,1997,Nitrogen,3.56,Biophysical_Historical,0.8333333333333333,2.805
Austria,AUT,1997,Land-System Change,0.99,Biophysical_Historical,0.8333333333333333,2.805
Austria,AUT,1997,Ecological Footprint,2.89,Biophysical_Historical,0.8333333333333333,2.805
Austria,AUT,1997,Material Footprint,2.77,Biophysical_Historical,0.8333333333333333,2.805
Austria,AUT,1998,CO2 Emissions,2.51,Biophysical_Historical,0.8333333333333333,2.8833333333333333
Austria,AUT,1998,Phosphorus,4.27,Biophysical_Historical,0.8333333333333333,2.8833333333333333
Austria,AUT,1998,Nitrogen,3.71,Biophysical_Historical,0.8333333333333333,2.8833333333333333
Austria,AUT,1998,Land-System Change,0.98,Biophysical_Historical,0.8333333333333333,2.8833333333333333
Austria,AUT,1998,Ecological Footprint,2.84,Biophysical_Historical,0.8333333333333333,2.8833333333333333
Austria,AUT,1998,Material Footprint,2.99,Biophysical_Historical,0.8333333333333333,2.8833333333333333
Austria,AUT,1999,CO2 Emissions,2.56,Biophysical_Historical,0.8333333333333333,2.89
Austria,AUT,1999,Phosphorus,4.17,Biophysical_Historical,0.8333333333333333,2.89
Austria,AUT,1999,Nitrogen,3.77,Biophysical_Historical,0.8333333333333333,2.89
Austria,AUT,1999,Land-System Change,0.98,Biophysical_Historical,0.8333333333333333,2.89
Austria,AUT,1999,Ecological Footprint,2.89,Biophysical_Historical,0.8333333333333333,2.89
Austria,AUT,1999,Material Footprint,2.97,Biophysical_Historical,0.8333333333333333,2.89
Austria,AUT,2000,CO2 Emissions,2.61,Biophysical_Historical,0.8333333333333333,2.808333333333333
Austria,AUT,2000,Phosphorus,3.76,Biophysical_Historical,0.8333333333333333,2.808333333333333
Austria,AUT,2000,Nitrogen,3.58,Biophysical_Historical,0.8333333333333333,2.808333333333333
Austria,AUT,2000,Land-System Change,0.96,Biophysical_Historical,0.8333333333333333,2.808333333333333
Austria,AUT,2000,Ecological Footprint,2.94,Biophysical_Historical,0.8333333333333333,2.808333333333333
Austria,AUT,2000,Material Footprint,3,Biophysical_Historical,0.8333333333333333,2.808333333333333
Austria,AUT,2001,CO2 Emissions,2.66,Biophysical_Historical,0.8333333333333333,2.7666666666666666
Austria,AUT,2001,Phosphorus,3.4,Biophysical_Historical,0.8333333333333333,2.7666666666666666
Austria,AUT,2001,Nitrogen,3.49,Biophysical_Historical,0.8333333333333333,2.7666666666666666
Austria,AUT,2001,Land-System Change,0.95,Biophysical_Historical,0.8333333333333333,2.7666666666666666
