country,iso3c,date,variable,value,type,crossed.percentage,average.higher.than.threshold
Austria,AUT,1992,Life Satisfaction,1.3,Social_Historical,1,1.185
Austria,AUT,1992,Life Expectancy,1.04,Social_Historical,1,1.185
Austria,AUT,1992,Nutrition,1.71,Social_Historical,1,1.185
Austria,AUT,1992,Sanitation,1.05,Social_Historical,1,1.185
Austria,AUT,1992,Income Poverty,1.05,Social_Historical,1,1.185
Austria,AUT,1992,Access to Energy,1.05,Social_Historical,1,1.185
Austria,AUT,1992,Education,1.11,Social_Historical,1,1.185
Austria,AUT,1992,Social Support,NA,Social_Historical,1,1.185
Austria,AUT,1992,Democratic Quality,1.34,Social_Historical,1,1.185
Austria,AUT,1992,Equality,1.12,Social_Historical,1,1.185
Austria,AUT,1992,Employment,1.08,Social_Historical,1,1.185
Austria,AUT,1993,Life Satisfaction,1.31,Social_Historical,1,1.18
Austria,AUT,1993,Life Expectancy,1.04,Social_Historical,1,1.18
Austria,AUT,1993,Nutrition,1.68,Social_Historical,1,1.18
Austria,AUT,1993,Sanitation,1.05,Social_Historical,1,1.18
Austria,AUT,1993,Income Poverty,1.05,Social_Historical,1,1.18
Austria,AUT,1993,Access to Energy,1.05,Social_Historical,1,1.18
Austria,AUT,1993,Education,1.13,Social_Historical,1,1.18
Austria,AUT,1993,Social Support,NA,Social_Historical,1,1.18
Austria,AUT,1993,Democratic Quality,1.34,Social_Historical,1,1.18
Austria,AUT,1993,Equality,1.1,Social_Historical,1,1.18
Austria,AUT,1993,Employment,1.05,Social_Historical,1,1.18
Austria,AUT,1994,Life Satisfaction,1.32,Social_Historical,1,1.187
Austria,AUT,1994,Life Expectancy,1.05,Social_Historical,1,1.187
Austria,AUT,1994,Nutrition,1.72,Social_Historical,1,1.187
Austria,AUT,1994,Sanitation,1.05,Social_Historical,1,1.187
Austria,AUT,1994,Income Poverty,1.05,Social_Historical,1,1.187
Austria,AUT,1994,Access to Energy,1.05,Social_Historical,1,1.187
Austria,AUT,1994,Education,1.13,Social_Historical,1,1.187
Austria,AUT,1994,Social Support,NA,Social_Historical,1,1.187
Austria,AUT,1994,Democratic Quality,1.34,Social_Historical,1,1.187
Austria,AUT,1994,Equality,1.08,Social_Historical,1,1.187
Austria,AUT,1994,Employment,1.08,Social_Historical,1,1.187
Austria,AUT,1995,Life Satisfaction,1.33,Social_Historical,1,1.18
Austria,AUT,1995,Life Expectancy,1.06,Social_Historical,1,1.18
Austria,AUT,1995,Nutrition,1.68,Social_Historical,1,1.18
Austria,AUT,1995,Sanitation,1.05,Social_Historical,1,1.18
Austria,AUT,1995,Income Poverty,1.05,Social_Historical,1,1.18
Austria,AUT,1995,Access to Energy,1.05,Social_Historical,1,1.18
Austria,AUT,1995,Education,1.13,Social_Historical,1,1.18
Austria,AUT,1995,Social Support,NA,Social_Historical,1,1.18
Austria,AUT,1995,Democratic Quality,1.34,Social_Historical,1,1.18
Austria,AUT,1995,Equality,1.06,Social_Historical,1,1.18
Austria,AUT,1995,Employment,1.05,Social_Historical,1,1.18
Austria,AUT,1996,Life Satisfaction,1.25,Social_Historical,1,1.173
Austria,AUT,1996,Life Expectancy,1.06,Social_Historical,1,1.173
Austria,AUT,1996,Nutrition,1.71,Social_Historical,1,1.173
Austria,AUT,1996,Sanitation,1.05,Social_Historical,1,1.173
Austria,AUT,1996,Income Poverty,1.05,Social_Historical,1,1.173
Austria,AUT,1996,Access to Energy,1.05,Social_Historical,1,1.173
Austria,AUT,1996,Education,1.12,Social_Historical,1,1.173
Austria,AUT,1996,Social Support,NA,Social_Historical,1,1.173
Austria,AUT,1996,Democratic Quality,1.34,Social_Historical,1,1.173
Austria,AUT,1996,Equality,1.08,Social_Historical,1,1.173
Austria,AUT,1996,Employment,1.02,Social_Historical,1,1.173
Austria,AUT,1997,Life Satisfaction,1.17,Social_Historical,1,1.1600000000000001
Austria,AUT,1997,Life Expectancy,1.07,Social_Historical,1,1.1600000000000001
Austria,AUT,1997,Nutrition,1.67,Social_Historical,1,1.1600000000000001
Austria,AUT,1997,Sanitation,1.05,Social_Historical,1,1.1600000000000001
Austria,AUT,1997,Income Poverty,1.05,Social_Historical,1,1.1600000000000001
Austria,AUT,1997,Access to Energy,1.05,Social_Historical,1,1.1600000000000001
Austria,AUT,1997,Education,1.11,Social_Historical,1,1.1600000000000001
Austria,AUT,1997,Social Support,NA,Social_Historical,1,1.1600000000000001
Austria,AUT,1997,Democratic Quality,1.31,Social_Historical,1,1.1600000000000001
Austria,AUT,1997,Equality,1.09,Social_Historical,1,1.1600000000000001
Austria,AUT,1997,Employment,1.03,Social_Historical,1,1.1600000000000001
Austria,AUT,1998,Life Satisfaction,1.23,Social_Historical,1,1.165
Austria,AUT,1998,Life Expectancy,1.08,Social_Historical,1,1.165
Austria,AUT,1998,Nutrition,1.76,Social_Historical,1,1.165
Austria,AUT,1998,Sanitation,1.05,Social_Historical,1,1.165
Austria,AUT,1998,Income Poverty,1.05,Social_Historical,1,1.165
Austria,AUT,1998,Access to Energy,1.05,Social_Historical,1,1.165
