country,iso3c,date,Biophysical_Historical,Social_Historical
Afghanistan,AFG,2015,0.3333333333333333,0.16666666666666666
Albania,ALB,2015,0.6666666666666666,0.36363636363636365
Algeria,DZA,2015,0.5,0.375
Angola,AGO,2015,0.16666666666666666,0
Argentina,ARG,2015,1,0.6363636363636364
Armenia,ARM,2015,0.5,0.2727272727272727
Australia,AUS,2015,1,0.9090909090909092
Austria,AUT,2015,1,1
Azerbaijan,AZE,2015,0.3333333333333333,0.4444444444444444
Bangladesh,BGD,2015,0,0.09090909090909091
Belgium,BEL,2015,1,0.8181818181818182
Benin,BEN,2015,0.16666666666666666,0.1111111111111111
Bolivia,BOL,2015,0.6666666666666666,0.09090909090909091
Bosnia and Herzegovina,BIH,2015,0.8333333333333333,0.5
Botswana,BWA,2015,0.6666666666666666,0.09090909090909091
Brazil,BRA,2015,0.8333333333333333,0.5454545454545454
Bulgaria,BGR,2015,0.8333333333333333,0.4545454545454546
Burkina Faso,BFA,2015,0.16666666666666666,0.09090909090909091
Burundi,BDI,2015,0,0.125
Cambodia,KHM,2015,0.5,0.1
Cameroon,CMR,2015,0.16666666666666666,0.18181818181818182
Canada,CAN,2015,1,0.8181818181818182
Central African Republic,CAF,2015,0.16666666666666666,0
Chad,TCD,2015,0.16666666666666666,0.1111111111111111
Chile,CHL,2015,1,0.6363636363636364
China,CHN,2015,0.6666666666666666,0.36363636363636365
Colombia,COL,2015,0.6666666666666666,0.36363636363636365
"Congo, Dem. Rep.",COD,2015,0.16666666666666666,0.2
"Congo, Rep.",COG,2015,0.16666666666666666,0
Costa Rica,CRI,2015,0.5,0.5454545454545454
Cote d'Ivoire,CIV,2015,0,0.2222222222222222
Croatia,HRV,2015,0.8333333333333333,0.6363636363636364
Cuba,CUB,2015,1,0.7142857142857142
Czech Republic,CZE,2015,1,1
Denmark,DNK,2015,1,0.9090909090909092
Dominican Republic,DOM,2015,0,0.09090909090909091
Ecuador,ECU,2015,0.6666666666666666,0.36363636363636365
