model,scenario,region,year,ssp,Annual consumption per capita (at utility peak),Scenario set,Climate policy,GHG budget,Economic trend,GDP (PPP),GHG emissions,Final Energy,value,variable,unit
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,2020,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth,1368.89164450555,497,4.41988036613758,3.2288022093480313,Final energy intensity of economic activity,MJ/$
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,2030,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth,1494.32971634541,124.695348692066,3.28796906862341,2.200296917513354,Final energy intensity of economic activity,MJ/$
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,2040,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth,1627.85611326054,26.8046513079338,3.00497602002895,1.8459715177222182,Final energy intensity of economic activity,MJ/$
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,2050,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth,1768.20161196541,1.36779476633819e-13,3.03399204689321,1.7158631834527258,Final energy intensity of economic activity,MJ/$
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,2060,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth,1877.35454225153,0.00999999999999979,2.91400831898938,1.5521886001855467,Final energy intensity of economic activity,MJ/$
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,2070,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth,1959.86274536484,0.00999999999999979,2.90873016238076,1.4841499330807897,Final energy intensity of economic activity,MJ/$
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,2080,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth,2011.66931125119,-3.1086244689504403e-15,2.80039513556007,1.39207528787041,Final energy intensity of economic activity,MJ/$
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,2090,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth,2029.62953710949,-6.2172489379008806e-15,2.6990086349605,1.329803585143085,Final energy intensity of economic activity,MJ/$
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,2100,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth,2078.9124827831,-8.88178419700125e-15,2.73271482586115,1.3144924803197036,Final energy intensity of economic activity,MJ/$
MESSAGEix-Australia,SSP2-baseline-4Gt,AUS,2020,SSP2,baseline,4Gt,GHG budget,4Gt,Continuing GDP growth,1369.266,497,4.42662605492031,3.232845959017685,Final energy intensity of economic activity,MJ/$
MESSAGEix-Australia,SSP2-baseline-4Gt,AUS,2030,SSP2,baseline,4Gt,GHG budget,4Gt,Continuing GDP growth,1932.08100050768,134.801232214265,4.46579184064948,2.31138955327237,Final energy intensity of economic activity,MJ/$
MESSAGEix-Australia,SSP2-baseline-4Gt,AUS,2040,SSP2,baseline,4Gt,GHG budget,4Gt,Continuing GDP growth,2482.44400163567,16.698767785735,4.79461108174658,1.931407547798635,Final energy intensity of economic activity,MJ/$
MESSAGEix-Australia,SSP2-baseline-4Gt,AUS,2050,SSP2,baseline,4Gt,GHG budget,4Gt,Continuing GDP growth,3007.53400318037,4.44089209850063e-16,4.97257209390761,1.6533718616811235,Final energy intensity of economic activity,MJ/$
MESSAGEix-Australia,SSP2-baseline-4Gt,AUS,2060,SSP2,baseline,4Gt,GHG budget,4Gt,Continuing GDP growth,3518.12600514927,0.00999999999999979,5.23143756933335,1.4869955088806963,Final energy intensity of economic activity,MJ/$
MESSAGEix-Australia,SSP2-baseline-4Gt,AUS,2070,SSP2,baseline,4Gt,GHG budget,4Gt,Continuing GDP growth,4007.49500739023,0.00999999999999979,5.52390523994196,1.378393542538497,Final energy intensity of economic activity,MJ/$
MESSAGEix-Australia,SSP2-baseline-4Gt,AUS,2080,SSP2,baseline,4Gt,GHG budget,4Gt,Continuing GDP growth,4438.63900953009,0.00999999999999979,5.79812111025399,1.3062835472326066,Final energy intensity of economic activity,MJ/$
MESSAGEix-Australia,SSP2-baseline-4Gt,AUS,2090,SSP2,baseline,4Gt,GHG budget,4Gt,Continuing GDP growth,4790.73401137013,0.00999999999999979,5.97934410113743,1.2481060495002023,Final energy intensity of economic activity,MJ/$
MESSAGEix-Australia,SSP2-baseline-4Gt,AUS,2100,SSP2,baseline,4Gt,GHG budget,4Gt,Continuing GDP growth,5049.74501282798,0.00999999999999979,6.03152838905162,1.1944223666204123,Final energy intensity of economic activity,MJ/$
