model,scenario,region,variable,unit,year,value,ssp,Annual consumption per capita (at utility peak),Scenario set,Climate policy,GHG budget,Economic trend
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Biomass,EJ/yr,2020,0.0944451482905078,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Biomass,EJ/yr,2030,0.15605568388566,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Biomass,EJ/yr,2040,0.247440743538368,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Biomass,EJ/yr,2050,0.0964356980864251,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Biomass,EJ/yr,2060,0.0397072854120471,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Biomass,EJ/yr,2070,0.0174867340836343,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Biomass,EJ/yr,2080,0.00305692998953044,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Biomass,EJ/yr,2090,0,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Biomass,EJ/yr,2100,0,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Fossil,EJ/yr,2020,5.57405398196066,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Fossil,EJ/yr,2030,2.23960923453014,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Fossil,EJ/yr,2040,1.03569569172386,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Fossil,EJ/yr,2050,0.591012151950219,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Fossil,EJ/yr,2060,0.540811609394822,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Fossil,EJ/yr,2070,0.53420049325777,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Fossil,EJ/yr,2080,0.521638625016496,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Fossil,EJ/yr,2090,0.513177476718934,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Fossil,EJ/yr,2100,0.513108654888948,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Wind and Solar,EJ/yr,2020,0.32276597874992397,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Wind and Solar,EJ/yr,2030,1.358706401549615,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Wind and Solar,EJ/yr,2040,1.959554516346294,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Wind and Solar,EJ/yr,2050,2.485572116131988,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Wind and Solar,EJ/yr,2060,2.4359810989758577,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Wind and Solar,EJ/yr,2070,2.4601126594624048,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Wind and Solar,EJ/yr,2080,2.3594823400453353,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Wind and Solar,EJ/yr,2090,2.25575233563732,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,Wind and Solar,EJ/yr,2100,2.2925202940663247,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth
NA,NA,NA,Biomass,NA,2020,0.15153383209906,NA,NA,NA,NA,4Gt,Continuing GDP growth
NA,NA,NA,Biomass,NA,2030,0.843342522027705,NA,NA,NA,NA,4Gt,Continuing GDP growth
